timestamp,id_maquina,idade_equipamento_meses,id_operador,turno,temperatura_c,vibracao_rms,pressao,unidade_pressao,corrente_a,rpm,horas_operacao,falha_72h
2026-05-04 00:00:00,M01,171,OP-04,1,67.84,2.987,3.927,bar,19.42,1758.0,20520.0,0
2026-05-04 00:00:00,M02,115,OP-01,1,70.26,3.636,3.85,bar,21.12,1740.0,13800.0,0
2026-05-04 00:00:00,M03,125,OP-08,1,71.33,3.694,4.064,bar,20.07,1757.2,15000.0,1
2026-05-04 00:00:00,M04,163,OP-07,1,67.48,3.16,3.891,bar,19.16,1754.8,19560.0,0
2026-05-04 00:00:00,M05,107,OP-01,1,65.08,2.361,4.17,bar,18.21,1762.6,12840.0,0
2026-05-04 00:00:00,M06,141,OP-02,1,63.85,2.383,3.894,bar,17.95,1770.4,16920.0,0
2026-05-04 00:00:00,M07,151,OP-12,1,65.08,3.023,4.074,bar,18.56,1771.7,18120.0,0
2026-05-04 00:00:00,M08,45,OP-07,1,74.63,4.077,3.738,bar,22.08,1734.0,5400.0,1
2026-05-04 00:00:00,M09,15,OP-12,1,67.27,2.578,3.985,bar,17.7,1764.3,1800.0,0
2026-05-04 00:00:00,M10,58,OP-06,1,64.22,2.186,4.085,bar,19.11,1768.6,6960.0,0
2026-05-04 00:00:00,M11,55,OP-04,1,62.53,1.79,4.198,bar,18.43,1781.8,6600.0,0
2026-05-04 00:00:00,M12,158,OP-11,1,67.3,2.791,3.783,bar,19.74,1765.4,18960.0,0
2026-05-04 00:00:00,M13,165,OP-12,1,61.65,2.13,4.049,bar,16.05,1786.5,19800.0,0
2026-05-04 00:00:00,M14,6,OP-07,1,64.16,2.296,4.198,bar,18.98,1785.5,720.0,0
2026-05-04 00:00:00,M15,93,OP-11,1,63.65,2.31,4.334,bar,18.54,1760.9,11160.0,0
2026-05-04 00:00:00,M16,149,OP-06,1,70.7,3.048,3.777,bar,19.33,1754.6,17880.0,0
2026-05-04 00:00:00,M17,29,OP-06,1,61.17,1.714,4.318,bar,18.07,1775.8,3480.0,0
2026-05-04 00:00:00,M18,145,OP-04,1,69.99,3.345,53.14,psi,20.22,1746.5,17400.0,0
2026-05-04 00:00:00,M19,26,OP-05,1,68.32,3.074,58.658,psi,19.98,1757.9,3120.0,0
2026-05-04 00:00:00,M20,87,OP-11,1,62.86,1.953,58.242,psi,18.13,1778.6,10440.0,0
2026-05-04 00:00:00,M21,148,OP-07,1,73.66,4.238,49.158,psi,20.66,1740.0,17760.0,1
2026-05-04 00:00:00,M22,59,OP-11,1,65.1,2.293,61.145,psi,18.33,1775.6,7080.0,0
2026-05-04 00:00:00,M23,65,OP-02,1,73.1,3.796,54.357,psi,19.49,1759.6,7800.0,0
2026-05-04 00:00:00,M24,54,OP-10,1,60.34,2.083,58.904,psi,17.93,1779.1,6480.0,0
2026-05-04 00:00:00,M25,131,OP-05,1,61.52,1.603,62.03,psi,18.32,1776.5,15720.0,0
2026-05-04 01:00:00,M01,171,OP-11,1,66.98,3.201,4.072,bar,19.29,1780.5,20521.0,0
2026-05-04 01:00:00,M02,115,OP-03,1,71.54,3.737,3.788,bar,20.73,1749.4,13801.0,0
2026-05-04 01:00:00,M03,125,OP-07,1,71.52,3.702,3.778,bar,21.34,1754.5,15001.0,1
2026-05-04 01:00:00,M04,163,OP-01,1,66.84,2.984,3.967,bar,20.6,1752.3,19561.0,0
2026-05-04 01:00:00,M05,107,OP-07,1,64.32,2.245,3.994,bar,18.23,1780.2,12841.0,0
2026-05-04 01:00:00,M06,141,OP-10,1,63.83,2.125,4.313,bar,18.55,1773.8,16921.0,0
2026-05-04 01:00:00,M07,151,OP-07,1,66.1,2.933,3.936,bar,19.62,1760.3,18121.0,0
2026-05-04 01:00:00,M08,45,OP-07,1,74.13,4.183,3.553,bar,21.33,1753.3,5401.0,1
2026-05-04 01:00:00,M09,15,OP-11,1,66.36,2.734,3.984,bar,19.13,1767.6,1801.0,0
2026-05-04 01:00:00,M10,58,OP-02,1,63.87,2.321,4.056,bar,18.22,1771.3,6961.0,0
2026-05-04 01:00:00,M11,55,OP-10,1,62.27,1.673,4.274,bar,18.02,1773.9,6601.0,0
2026-05-04 01:00:00,M12,158,OP-12,1,68.48,2.982,3.974,bar,21.21,1768.7,18961.0,0
2026-05-04 01:00:00,M13,165,OP-01,1,62.03,1.993,3.987,bar,17.96,1767.7,19801.0,0
2026-05-04 01:00:00,M14,6,OP-11,1,64.48,2.312,3.859,bar,18.38,1759.4,721.0,0
2026-05-04 01:00:00,M15,93,OP-11,1,64.49,2.413,3.9,bar,18.21,1773.3,11161.0,0
2026-05-04 01:00:00,M16,149,OP-09,1,67.52,3.076,3.787,bar,20.45,1751.3,17881.0,0
2026-05-04 01:00:00,M17,29,OP-11,1,61.34,1.884,4.163,bar,17.71,1780.6,3481.0,0
2026-05-04 01:00:00,M18,145,OP-10,1,70.09,3.375,52.971,psi,20.85,1756.6,17401.0,0
2026-05-04 01:00:00,M19,26,OP-02,1,67.53,3.211,56.918,psi,19.45,1752.0,3121.0,0
2026-05-04 01:00:00,M20,87,OP-02,1,61.47,2.268,59.285,psi,17.66,1781.0,10441.0,0
2026-05-04 01:00:00,M21,148,OP-07,1,73.68,4.146,53.692,psi,20.09,1747.2,17761.0,1
2026-05-04 01:00:00,M22,59,OP-10,1,62.56,2.026,60.236,psi,18.28,1769.7,7081.0,0
2026-05-04 01:00:00,M23,65,OP-06,1,70.47,3.839,56.128,psi,20.41,1733.0,7801.0,0
2026-05-04 01:00:00,M24,54,OP-04,1,61.16,2.367,59.673,psi,17.06,1771.2,6481.0,0
2026-05-04 01:00:00,M25,131,OP-04,1,63.44,1.815,60.077,psi,18.64,1769.1,15721.0,0
2026-05-04 02:00:00,M01,171,OP-05,1,65.0,2.861,4.129,bar,19.2,1766.8,20522.0,0
2026-05-04 02:00:00,M02,115,OP-02,1,70.12,3.373,3.874,bar,21.64,1734.4,13802.0,0
2026-05-04 02:00:00,M03,125,OP-07,1,70.59,3.934,3.934,bar,20.83,1744.7,15002.0,1
2026-05-04 02:00:00,M04,163,OP-03,1,68.59,3.12,3.977,bar,20.71,1760.1,19562.0,0
2026-05-04 02:00:00,M05,107,OP-07,1,64.7,2.467,4.192,bar,18.42,1782.7,12842.0,0
2026-05-04 02:00:00,M06,141,OP-07,1,64.05,2.254,4.06,bar,18.03,1764.8,16922.0,0
2026-05-04 02:00:00,M07,151,OP-12,1,64.53,2.625,4.0,bar,19.94,1768.3,18122.0,0
2026-05-04 02:00:00,M08,45,OP-07,1,72.46,4.315,3.817,bar,21.31,1736.3,5402.0,1
2026-05-04 02:00:00,M09,15,OP-05,1,66.29,2.713,4.159,bar,18.71,1759.8,1802.0,0
2026-05-04 02:00:00,M10,58,OP-08,1,63.98,2.296,3.993,bar,18.21,1770.5,6962.0,0
2026-05-04 02:00:00,M11,55,OP-08,1,63.01,1.986,4.274,bar,17.7,1791.6,6602.0,0
2026-05-04 02:00:00,M12,158,OP-03,1,67.16,2.907,3.995,bar,19.65,1756.1,18962.0,0
2026-05-04 02:00:00,M13,165,OP-12,1,61.99,2.247,3.995,bar,17.26,1791.7,19802.0,0
2026-05-04 02:00:00,M14,6,OP-02,1,63.66,2.701,4.118,bar,18.75,1758.6,722.0,0
2026-05-04 02:00:00,M15,93,OP-07,1,64.77,2.345,4.001,bar,18.27,1774.2,11162.0,0
2026-05-04 02:00:00,M16,149,OP-04,1,68.28,3.657,3.991,bar,19.08,1745.7,17882.0,0
2026-05-04 02:00:00,M17,29,OP-02,1,60.72,1.63,4.254,bar,17.91,1776.6,3482.0,0
2026-05-04 02:00:00,M18,145,OP-02,1,68.48,3.369,56.76,psi,20.22,1757.4,17402.0,0
2026-05-04 02:00:00,M19,26,OP-07,1,67.98,2.918,56.843,psi,20.64,1782.4,3122.0,0
2026-05-04 02:00:00,M20,87,OP-08,1,63.36,2.139,57.947,psi,17.46,1787.2,10442.0,0
2026-05-04 02:00:00,M21,148,OP-07,1,71.99,,51.562,psi,22.3,1748.7,17762.0,1
2026-05-04 02:00:00,M22,59,OP-03,1,62.92,1.905,60.086,psi,17.78,1776.1,7082.0,0
2026-05-04 02:00:00,M23,65,OP-04,1,72.29,3.863,54.051,psi,21.61,1742.1,7802.0,0
2026-05-04 02:00:00,M24,54,OP-05,1,61.96,1.988,56.934,psi,17.62,1769.2,6482.0,0
2026-05-04 02:00:00,M25,131,OP-09,1,61.6,2.056,59.579,psi,17.15,1790.1,15722.0,0
2026-05-04 03:00:00,M01,171,OP-08,1,65.71,2.856,3.986,bar,19.67,1760.3,20523.0,0
2026-05-04 03:00:00,M02,115,OP-03,1,71.46,3.424,3.825,bar,20.22,1755.2,13803.0,0
2026-05-04 03:00:00,M03,125,OP-12,1,72.19,3.587,3.476,bar,20.65,1729.4,15003.0,1
2026-05-04 03:00:00,M04,163,OP-04,1,70.27,3.065,3.742,bar,19.52,1762.1,19563.0,0
2026-05-04 03:00:00,M05,107,OP-06,1,65.31,2.426,4.145,bar,17.86,1761.2,12843.0,0
2026-05-04 03:00:00,M06,141,OP-10,1,63.89,2.015,4.169,bar,19.44,1769.9,16923.0,0
2026-05-04 03:00:00,M07,151,OP-04,1,66.44,2.65,4.093,bar,18.98,1771.2,18123.0,0
2026-05-04 03:00:00,M08,45,OP-07,1,74.2,4.132,3.711,bar,20.92,1741.7,5403.0,1
2026-05-04 03:00:00,M09,15,OP-06,1,64.16,2.787,3.883,bar,19.85,1768.6,1803.0,0
2026-05-04 03:00:00,M10,58,OP-07,1,63.62,2.567,3.94,bar,19.15,1771.8,6963.0,0
2026-05-04 03:00:00,M11,55,OP-03,1,62.53,1.739,4.149,bar,17.78,1779.0,6603.0,0
2026-05-04 03:00:00,M12,158,OP-05,1,67.44,2.858,3.896,bar,19.48,1750.1,18963.0,0
2026-05-04 03:00:00,M13,165,OP-01,1,62.56,2.007,4.333,bar,18.23,1774.7,19803.0,0
2026-05-04 03:00:00,M14,6,OP-06,1,64.95,2.51,3.874,bar,19.7,1766.0,723.0,0
2026-05-04 03:00:00,M15,93,OP-11,1,64.77,2.343,4.171,bar,18.12,1773.9,11163.0,0
2026-05-04 03:00:00,M16,149,OP-02,1,68.1,3.507,3.995,bar,20.52,1751.5,17883.0,0
